Country,Quality_of_Life_Index,Purchasing_Power_Index,Cost_of_Living_Index,Property_Price_to_Income_Ratio,Year,GDP_Per_Capita,ISO3
Chile,99.9,33.3,49.3,17.6,2021,67440.5764512877,CHL
Colombia,101.3,26.1,31.0,18.7,2021,53581.35197967215,COL
Croatia,156.1,43.1,56.4,14.2,2021,51724.31989182543,HRV
Denmark,190.0,94.7,91.7,6.7,2021,7972.536960769528,DNK
Finland,182.8,89.1,77.5,8.6,2021,16223.353831163531,FIN
France,150.7,74.1,80.6,13.5,2021,6222.621644530108,FRA
Germany,176.8,93.7,70.6,9.1,2021,17612.1534890509,DEU
India,104.5,47.1,25.2,11.3,2021,69727.47543016823,IND
Indonesia,90.1,20.9,37.4,22.0,2021,27936.61797491289,IDN
Ireland,150.9,73.8,83.1,7.4,2021,53098.57933634165,IRL
Israel,144.1,70.4,86.6,13.7,2021,43437.82226939912,ISR
Japan,162.3,76.5,87.8,13.0,2021,51952.79553992971,JPN
Lithuania,160.0,54.6,47.7,11.0,2021,2257.365144648479,LTU
Malaysia,116.9,56.1,39.5,9.9,2021,4287.173139894144,MYS
Mexico,120.3,35.5,35.1,10.5,2021,105660.60172864902,MEX
Netherlands,183.3,83.9,78.6,7.4,2021,55082.20323875,NLD
Norway,173.6,79.4,106.1,8.5,2021,23989.124665759136,NOR
Philippines,78.4,19.7,40.7,30.1,2021,10904.493188827504,PHL
Singapore,143.8,83.6,85.6,19.4,2021,10314.050503779868,SGP
South Africa,132.2,72.9,41.7,4.0,2021,59472.00119802142,ZAF
Spain,164.5,62.7,59.1,9.6,2021,2008.544801883541,ESP
Sweden,171.4,90.6,79.2,8.6,2021,93076.83358698434,SWE
Switzerland,190.8,111.0,131.7,8.4,2021,3484.3859580075477,CHE
Thailand,100.3,31.4,49.3,22.2,2021,78270.60099181386,THA
United Arab Emirates,156.0,85.7,61.7,4.9,2021,6830.894724614094,ARE
United States,167.0,102.6,71.9,4.0,2021,30611.17787850798,USA
